 ****** HSPICE -- Q-2020.03-SP2-2 linux64 (Nov  1 2020) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
1
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
v_final,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.06212148,-0.9326514,-1.026168,-0.8397592
0.06212443,-0.928786,-1.022169,-0.8360221
0.06212687,-0.9249345,-1.018184,-0.8322975
0.06212768,-0.9210966,-1.014215,-0.8285854
0.06213276,-0.9172722,-1.01026,-0.8248857
0.0621329,-0.9134613,-1.00632,-0.8211982
0.06213403,-0.9096635,-1.002394,-0.8175228
0.06213525,-0.9058788,-0.9984826,-0.8138593
0.06214054,-0.9021071,-0.9945852,-0.8102077
0.06214436,-0.8983481,-0.9907018,-0.8065677
0.06214962,-0.8946018,-0.9868322,-0.8029393
0.06215025,-0.890868,-0.9829762,-0.7993224
0.06216241,-0.8871466,-0.9791338,-0.7957168
0.06216443,-0.8834374,-0.9753047,-0.7921223
0.06216999,-0.8797403,-0.9714888,-0.788539
0.06217281,-0.8760552,-0.967686,-0.7849666
0.06217926,-0.872382,-0.9638961,-0.7814051
0.06218306,-0.8687205,-0.9601189,-0.7778544
0.06221087,-0.8650707,-0.9563545,-0.7743142
0.06221116,-0.8614323,-0.9526025,-0.7707846
0.06221878,-0.8578053,-0.9488629,-0.7672654
0.06222586,-0.8541895,-0.9451356,-0.7637565
0.0622277,-0.8505849,-0.9414204,-0.7602578
0.06222861,-0.8469912,-0.9377172,-0.7567691
0.06223911,-0.8434085,-0.9340258,-0.7532906
0.06224274,-0.8398366,-0.9303462,-0.7498218
0.06224373,-0.8362754,-0.9266783,-0.7463629
0.06225128,-0.8327247,-0.9230218,-0.7429137
0.06225129,-0.8291845,-0.9193767,-0.739474
0.0622569,-0.8256547,-0.9157429,-0.7360439
0.06226252,-0.8221351,-0.9121202,-0.7326232
0.06227004,-0.8186257,-0.9085086,-0.7292117
0.06227645,-0.8151263,-0.9049079,-0.7258096
0.0622768,-0.8116369,-0.9013181,-0.7224165
0.06228719,-0.8081574,-0.8977389,-0.7190325
0.06228932,-0.8046876,-0.8941704,-0.7156574
0.06229284,-0.8012274,-0.8906123,-0.7122912
0.06229343,-0.7977768,-0.8870647,-0.7089338
0.06230109,-0.7943357,-0.8835273,-0.7055851
0.06230118,-0.790904,-0.8800001,-0.702245
0.06230784,-0.7874816,-0.8764831,-0.6989134
0.06231107,-0.7840684,-0.872976,-0.6955903
0.06231254,-0.7806642,-0.8694788,-0.6922755
0.06232319,-0.7772691,-0.8659914,-0.688969
0.06232331,-0.773883,-0.8625137,-0.6856707
0.06232492,-0.7705057,-0.8590456,-0.6823806
0.06232611,-0.7671371,-0.855587,-0.6790985
0.06232616,-0.7637772,-0.8521379,-0.6758244
0.06232706,-0.760426,-0.8486981,-0.6725582
0.06233303,-0.7570832,-0.8452675,-0.6692998
0.06233391,-0.7537489,-0.8418461,-0.6660492
0.06233567,-0.750423,-0.8384338,-0.6628063
0.06233827,-0.7471053,-0.8350304,-0.6595709
0.06233868,-0.7437958,-0.831636,-0.6563431
0.06234074,-0.7404945,-0.8282503,-0.6531228
0.06234736,-0.7372012,-0.8248735,-0.6499099
0.06234947,-0.7339159,-0.8215052,-0.6467043
0.06234997,-0.7306385,-0.8181455,-0.643506
0.06235672,-0.7273689,-0.8147943,-0.6403148
0.06235761,-0.7241071,-0.8114516,-0.6371308
0.06235837,-0.7208529,-0.8081172,-0.6339539
0.06236616,-0.7176064,-0.804791,-0.6307839
0.06236656,-0.7143674,-0.801473,-0.627621
0.06236905,-0.7111359,-0.7981631,-0.6244648
0.06238087,-0.7079119,-0.7948613,-0.6213155
0.06238115,-0.7046951,-0.7915674,-0.618173
0.06238388,-0.7014856,-0.7882814,-0.6150371
0.06239114,-0.6982834,-0.7850032,-0.6119079
0.06239822,-0.6950882,-0.7817327,-0.6087853
0.0623999,-0.6919002,-0.77847,-0.6056691
0.06240055,-0.6887192,-0.7752148,-0.6025594
0.06240372,-0.6855451,-0.7719672,-0.5994561
0.06240722,-0.6823779,-0.7687271,-0.5963592
0.06240731,-0.6792176,-0.7654943,-0.5932685
0.06240804,-0.676064,-0.7622689,-0.590184
0.06240956,-0.6729172,-0.7590508,-0.5871058
0.06241063,-0.6697769,-0.7558398,-0.5840336
0.06241619,-0.6666433,-0.752636,-0.5809675
0.06241667,-0.6635162,-0.7494393,-0.5779074
0.06242001,-0.6603956,-0.7462497,-0.5748533
0.06242485,-0.6572814,-0.7430669,-0.5718051
0.06242632,-0.6541736,-0.7398911,-0.5687627
0.06242654,-0.651072,-0.7367221,-0.5657261
0.06243182,-0.6479767,-0.7335599,-0.5626953
0.06243543,-0.6448876,-0.7304044,-0.5596702
0.06243685,-0.6418047,-0.7272555,-0.5566507
0.0624376,-0.6387278,-0.7241132,-0.5536368
0.06243805,-0.635657,-0.7209775,-0.5506285
0.06243873,-0.6325922,-0.7178483,-0.5476257
0.06243922,-0.6295333,-0.7147255,-0.5446283
0.0624438,-0.6264802,-0.711609,-0.5416363
0.06244613,-0.623433,-0.7084989,-0.5386497
0.06245238,-0.6203916,-0.7053951,-0.5356684
0.06246497,-0.6173559,-0.7022974,-0.5326924
0.06247615,-0.6143259,-0.6992059,-0.5297216
0.06247791,-0.6113015,-0.6961205,-0.526756
0.06248294,-0.6082827,-0.6930412,-0.5237955
0.06249332,-0.6052694,-0.6899679,-0.52084
0.06249457,-0.6022616,-0.6869005,-0.5178897
0.0625006,-0.5992593,-0.683839,-0.5149443
0.06250301,-0.5962623,-0.6807833,-0.5120039
0.06250385,-0.5932707,-0.6777335,-0.5090684
0.06250447,-0.5902844,-0.6746894,-0.5061378
0.06250546,-0.5873033,-0.6716509,-0.503212
0.06250688,-0.5843275,-0.6686182,-0.500291
0.06251749,-0.5813568,-0.665591,-0.4973747
0.06252047,-0.5783913,-0.6625694,-0.4944632
0.06253042,-0.5754308,-0.6595533,-0.4915563
0.06253682,-0.5724753,-0.6565427,-0.488654
0.06253863,-0.5695249,-0.6535375,-0.4857563
0.06254111,-0.5665794,-0.6505376,-0.4828632
0.06254329,-0.5636388,-0.6475431,-0.4799745
0.06255231,-0.560703,-0.6445538,-0.4770904
0.06255345,-0.5577721,-0.6415698,-0.4742106
0.06255765,-0.554846,-0.638591,-0.4713353
0.06255999,-0.5519246,-0.6356173,-0.4684643
0.06256147,-0.5490079,-0.6326487,-0.4655977
0.06256282,-0.5460959,-0.6296852,-0.4627353
0.06256775,-0.5431885,-0.6267267,-0.4598771
0.06256969,-0.5402857,-0.6237732,-0.4570232
0.06256969,-0.5373875,-0.6208246,-0.4541734
0.06257313,-0.5344937,-0.6178809,-0.4513278
0.06257592,-0.5316044,-0.6149421,-0.4484863
0.06257613,-0.5287196,-0.612008,-0.4456488
0.06257632,-0.5258391,-0.6090788,-0.4428153
0.06258101,-0.522963,-0.6061543,-0.4399859
0.06258262,-0.5200912,-0.6032344,-0.4371604
0.06259128,-0.5172237,-0.6003193,-0.4343388
0.06259395,-0.5143605,-0.5974087,-0.4315212
0.06259492,-0.5115014,-0.5945027,-0.4287073
0.06260235,-0.5086465,-0.5916013,-0.4258974
0.0626028,-0.5057958,-0.5887043,-0.4230912
0.06260687,-0.5029492,-0.5858118,-0.4202887
0.06260942,-0.5001066,-0.5829238,-0.41749
0.06261507,-0.4972681,-0.5800401,-0.414695
0.06262274,-0.4944336,-0.5771608,-0.4119036
0.06263069,-0.491603,-0.5742858,-0.4091159
0.06263213,-0.4887764,-0.571415,-0.4063318
0.06263357,-0.4859537,-0.5685485,-0.4035512
0.06263869,-0.4831348,-0.5656863,-0.4007742
0.06263951,-0.4803198,-0.5628282,-0.3980007
0.06263958,-0.4775086,-0.5599742,-0.3952306
0.06264205,-0.4747011,-0.5571244,-0.392464
0.06264326,-0.4718974,-0.5542786,-0.3897009
0.06264418,-0.4690974,-0.5514368,-0.3869411
0.06264571,-0.4663011,-0.548599,-0.3841846
0.06265701,-0.4635084,-0.5457653,-0.3814315
0.06265748,-0.4607193,-0.5429354,-0.3786817
0.06265828,-0.4579338,-0.5401095,-0.3759351
0.0626586,-0.4551518,-0.5372874,-0.3731918
0.06266246,-0.4523734,-0.5344691,-0.3704517
0.06267032,-0.4495985,-0.5316547,-0.3677148
0.0626792,-0.446827,-0.528844,-0.364981
0.06267951,-0.4440589,-0.5260371,-0.3622504
